UF,MUNICIPIO,BAIRRO,ENDERAG,CEP_,LATITUDE2,LONGITUD2,Base Referencia,lat_lng,Agencia,Lat,Long,cluster
MG,CORINTO,CENTRO,PCA J KUBITSCHEK 58,39200-000,-18.403784,-44.458795,Belo Horizonte,"(-18.36530201, -44.457474384)",5251,-18.36530201,-44.457474384,2
MG,DELFIM MOREIRA,CENTRO,PCA GETULIO VARGAS 43,37514-000,-22.508558,-45.280766,Belo Horizonte,"(-22.5085014, -45.2803019)",5253,-22.5085014,-45.2803019,0
MG,EUGENOPOLIS,CENTRO,AV ANTENOR MAZORQUE 97,36855-000,-21.101700,-42.183080,Belo Horizonte,"(-21.0977735, -42.1827675)",5255,-21.0977735,-42.1827675,0
MG,FRANCISCO SA,CENTRO,R OLIMPIO DIAS 505,39580-000,-16.468904,-43.485177,Belo Horizonte,"(-16.4761379, -43.49060060000001)",5256,-16.4761379,-43.49060060000001,2
MG,GUARACIABA,CENTRO,R DIREITA 16,35436-000,-20.557669,-43.005939,Belo Horizonte,"(-20.5715696, -43.00777919999999)",5257,-20.5715696,-43.00777919999999,0
MG,ITAMBACURI,CENTRO,AV 2 DE AGOSTO 1465,39830-000,-18.044543,-41.661248,Belo Horizonte,"(-18.0341633, -41.68360029999999)",5260,-18.0341633,-41.68360029999999,2
MG,JOAIMA,CENTRO,R PROF A G MOREIRA 376,39890-000,-16.645276,-41.032385,Belo Horizonte,"(-16.6548418, -41.024755)",5264,-16.6548418,-41.024755,2
MG,LARANJAL,CENTRO,AV ONOFRE S DA SILVA 71,36760-000,-21.361730,-42.471583,Belo Horizonte,"(-21.3638927, -42.4791243)",5265,-21.3638927,-42.4791243,0
MG,MACHACALIS,CENTRO,R MILTON CAMPOS 126,39873-000,-17.073269,-40.711446,Belo Horizonte,"(-17.0776849, -40.717674)",5266,-17.0776849,-40.717674,2
MG,MATHIAS LOBATO,CENTRO,AV JOSE L DE OLIVEIRA 22,35110-000,-18.588530,-41.924265,Belo Horizonte,"(-18.5734457, -41.9152089)",5271,-18.5734457,-41.9152089,2
MG,MENDES PIMENTEL,CENTRO,AV MATEUS MOULIN 56A,35270-000,-18.656446,-41.406443,Belo Horizonte,"(-18.6591434, -41.4036416)",5273,-18.6591434,-41.4036416,2
MG,MOEMA,CENTRO,R CAETES 420,35604-000,-19.845082,-45.413393,Belo Horizonte,"(-19.8434703, -45.4147468)",5274,-19.8434703,-45.4147468,0
MG,NATERCIA,CENTRO,R PREF JOSE NACACIO 44,37524-000,-22.118670,-45.513445,Belo Horizonte,"(-22.118702, -45.5134535)",5279,-22.118702,-45.5134535,0
MG,PALMA,CENTRO,R DR MARCO A FREITAS 38A,36750-000,-21.360731,-42.314409,Belo Horizonte,"(-21.375825, -42.3168305)",5280,-21.375825,-42.3168305,0
MG,PALMOPOLIS,CENTRO,AV BELO HORIZONTE 70,39945-000,-16.735094,-40.420398,Belo Horizonte,"(-16.7351134, -40.42046)",5282,-16.7351134,-40.42046,2
MG,PAPAGAIOS,CENTRO,R WASHINGTON VIEIRA 55,35669-000,-19.442624,-44.748637,Belo Horizonte,"(-19.4474008, -44.7477588)",5284,-19.4474008,-44.7477588,0
MG,PAULA CANDIDO,CENTRO,R MONS LISBOA 145,36544-000,-20.874822,-42.969849,Belo Horizonte,"(-20.8734831, -42.9806129)",5286,-20.8734831,-42.9806129,0
MG,PERDIGAO,CENTRO,P DRGERALDO C BRANDAO194,35515-000,-19.952999,-45.084000,Belo Horizonte,"(-19.9526866, -45.0813485)",5288,-19.9526866,-45.0813485,0
MG,POCRANE,CENTRO,AV MINAS GERAIS 112,36960-000,-19.619363,-41.637671,Belo Horizonte,"(-19.619641, -41.637645)",5293,-19.619641,-41.637645,2
MG,PRESIDENTE OLEGARI,CENTRO,PCA DA INDEPENDENCIA 84,38750-000,-18.307135,-46.123178,Uberaba,"(-18.415637, -46.4189027)",5294,-18.415637,-46.4189027,1
MG,RIBEIRAO VERMELHO,CENTRO,AV ANTONIO ROCHA 342,37264-000,-21.191537,-45.062474,Belo Horizonte,"(-21.191187, -45.06143)",5295,-21.191187,-45.06143,0
MG,RIO VERMELHO,CENTRO,R SANTOS COSTA 66,39170-000,-18.277965,-43.007964,Belo Horizonte,"(-18.29187, -43.0072572)",5296,-18.29187,-43.0072572,2
MG,SANTANA DO PARAISO,CENTRO,PCA DA MATRIZ 44,35167-000,-19.365090,-42.549155,Belo Horizonte,"(-19.3651284, -42.5497154)",5299,-19.3651284,-42.5497154,2
MG,S JOSE DO GOIABAL,CENTRO,R MAGALHAES PINTO 165,35986-000,-19.928602,-42.701025,Belo Horizonte,"(-19.9261298, -42.7075629)",5303,-19.9261298,-42.7075629,0
MG,SAO TOME DAS LETRA,CENTRO,R AL VIRGILIO MARTINS 6B,37418-000,-21.723546,-44.981533,Belo Horizonte,"(-21.7229809, -44.9858193)",5304,-21.7229809,-44.9858193,0
MG,TIROS,CENTRO,PCA SANTO ANTONIO 466,38880-000,-18.998124,-45.969779,Uberaba,"(-19.0028245, -45.9656606)",5311,-19.0028245,-45.9656606,1
MG,URUCANIA,CENTRO,R DONA FRANCISCA 70,35380-000,-20.323993,-42.748031,Belo Horizonte,"(-20.3512966, -42.7410325)",5312,-20.3512966,-42.7410325,0
MG,ALVINOPOLIS,CENTRO,R PE J MARCIANO 501,35950-000,-20.095483,-43.044270,Belo Horizonte,"(-20.1110146, -43.059653)",5323,-20.1110146,-43.059653,0
MG,BELO HORIZONTE,NOVA GRANADA,AV SILVA LOBO 1111,30460-000,-19.934076,-43.971657,Belo Horizonte,"(-19.9347104, -43.97118589999999)",5325,-19.9347104,-43.97118589999999,0
MG,ANTONIO DIAS,CENTRO,R PRES VARGAS 100,35177-000,-19.624333,-42.868516,Belo Horizonte,"(-19.6540716, -42.8698976)",5355,-19.6540716,-42.8698976,2
MG,DESTERRO E RIOS,CENTRO,R TEOFILO ANDRADE 52,35494-000,-20.636753,-44.338900,Belo Horizonte,"(-20.659791479543692, -44.33489716905575)",5365,-20.65979147954369,-44.33489716905575,0
MG,DIVISOPOLIS,CENTRO,PCA MANFREDO F SOUZA 70,39912-000,-15.726281,-41.000266,Belo Horizonte,"(-15.7208534, -41.0028156)",5367,-15.7208534,-41.0028156,2
MG,JEQUITAI,CENTRO,AV ESPIRITO SANTO 150,39370-000,-17.232221,-44.435942,Belo Horizonte,"(-17.2312772, -44.4415771)",5370,-17.2312772,-44.4415771,2
MG,MATA VERDE,CENTRO,PCA JOSE A LEBRAO 106,39915-000,-15.688790,-40.730739,Belo Horizonte,"(-15.6872299, -40.7410649)",5381,-15.6872299,-40.7410649,2
MG,NOVA PONTE,CENTRO,AV GOV VALADARES 791,38160-000,-19.136000,-47.682999,Uberaba,"(-19.1648963, -47.6751866)",5388,-19.1648963,-47.6751866,1
MG,RIO ACIMA,CENTRO,R 28 DE DEZEMBRO 14,34300-000,-20.088559,-43.790925,Belo Horizonte,"(-20.0885131, -43.7912003)",5392,-20.0885131,-43.7912003,0
MG,S JOSE DO JACURI,CENTRO,R SAO JOSE DO JACURI 9,39707-000,-18.274884,-42.674401,Belo Horizonte,"(-18.2765521, -42.6712058)",5399,-18.2765521,-42.6712058,2
MG,BELO HORIZONTE,PE EUSTAQUIO,R PE EUSTAQUIO 2760,30720-100,-19.914936,-43.977795,Belo Horizonte,"(-19.9146383, -43.9787781)",5435,-19.9146383,-43.9787781,0
MG,CAMPANARIO,CENTRO,R ANTONIO DUARTE 50,39835-000,-18.238482,-41.748500,Belo Horizonte,"(-18.2422234, -41.73066943)",5535,-18.2422234,-41.73066943,2
MG,S SEBAST MARANHAO,CENTRO,R CONEGO LAFAIATE 911,39795-000,-18.089247,-42.568242,Belo Horizonte,"(-18.0881130, -42.57029208)",5545,-18.088113,-42.57029208,2
MG,SERRA DOS AIMORES,CENTRO,AV SAO FRANCISCO 268,39868-000,-17.773290,-40.254282,Belo Horizonte,"(-17.786162, -40.2452183)",5546,-17.786162,-40.2452183,2
MG,CONCEICAO DO PARA,CENTRO,PCA JANUARIO VALERIO 200,35668-000,-19.758290,-44.894348,Belo Horizonte,"(-19.7539123, -44.8960818)",5549,-19.7539123,-44.8960818,0
MG,DONA EUZEBIA,CENTRO,AV ANTONIO E RIBEIRO 260,36784-000,-21.321455,-42.805843,Belo Horizonte,"(-21.3151478, -42.8120874)",5550,-21.3151478,-42.8120874,0
MG,CACHOEIRA DA PRATA,CENTRO,PCA JK 170,35765-000,-19.525254,-44.447798,Belo Horizonte,"(-19.5242545, -44.45177)",5551,-19.5242545,-44.45177,0
MG,PIRAJUBA,CENTRO,R CECINIO SILVA 45,38210-000,-19.907732,-48.699308,Uberaba,"(-19.9078257, -48.6993288)",5553,-19.9078257,-48.6993288,1
MG,SANTANA PIRAPAMA,CENTRO,R SAO JOSE 160,35785-000,-18.996838,-44.053089,Belo Horizonte,"(-19.007046, -44.0416138)",5557,-19.007046,-44.0416138,0
MG,FELISBURGO,CENTRO,PCA JOSE D P COELHO 13,39895-000,-16.640435,-40.772844,Belo Horizonte,"(-16.6390622, -40.7624728)",5559,-16.6390622,-40.7624728,2
MG,ITAIPE,CENTRO,R CEL PEDRO MENDES 3,39815-000,-17.402469,-41.672170,Belo Horizonte,"(-17.4016788, -41.6693305)",5564,-17.4016788,-41.6693305,2
MG,NOVA UNIAO,CENTRO,P PE JOAO HABIAN 232,34990-000,-19.689953,-43.579660,Belo Horizonte,"(-19.6874806, -43.583051)",5578,-19.6874806,-43.583051,0
MG,S JOAO MANTENINHA,CENTRO,AV JOAO GOMES VIEIRA 28,35277-000,-18.720758,-41.159624,Belo Horizonte,"(-18.7232438, -41.1607818)",5599,-18.7232438,-41.1607818,2
MG,CONTAGEM,CID INDUSTRIAL,P ANTONIO M GUIMARAES222,32210-170,-19.956518,-44.025967,Belo Horizonte,"(-19.8396119, -44.1517096)",5605,-19.8396119,-44.1517096,0
MG,BELO HORIZONTE,VENDA NOVA,R PE PEDRO PINTO 825,31510-000,-19.815613,-43.957263,Belo Horizonte,"(-19.8157365, -43.9576415)",5612,-19.8157365,-43.9576415,0
MG,CONTAGEM,CENTRO,R JOAO CAMARGOS 56,32040-620,-19.917636,-44.079842,Belo Horizonte,"(-19.9019558, -44.0794429)",5636,-19.9019558,-44.0794429,0
MG,MONTES CLAROS,CENTRO,R DR SANTOS 49,39400-000,"     .      ","     .      ",Belo Horizonte,"(-16.7238953, -43.8651953)",4613,-16.7238953,-43.8651953,2
MG,CRUZEIRO DA FORTAL,CENTRO,AV N SRA DE FATIMA 1361,38735-000,-18.945999,-46.674000,Uberaba,"(-18.946948, -46.673326)",5705,-18.946948,-46.673326,1
MG,ENTRE FOLHAS,CENTRO,R JOAQUIM CAMPOS 72,35324-000,-19.625614,-42.231606,Belo Horizonte,"(-19.6269115, -42.2310221)",5706,-19.6269115,-42.2310221,2
MG,RIO DO PRADO,CENTRO,R PACIFICO RODRIGUES 251,39940-000,-16.595775,-40.554290,Belo Horizonte,"(-16.6098832, -40.5696228)",5731,-16.6098832,-40.5696228,2
MG,SAO JOSE DO DIVINO,CENTRO,PCA CEL ANTONIO LOPES 25,39848-000,-18.471288,-41.386702,Belo Horizonte,"(-18.4818079, -41.3897786)",5753,-18.4818079,-41.3897786,2
MG,TAQUARACU DE MINAS,CENTRO,PCA CEL JOSE DE MELO 55,33980-000,-19.667885,-43.689156,Belo Horizonte,"(-19.6677404, -43.6889694)",5777,-19.6677404,-43.6889694,0
MG,UBERLANDIA,SARAIVA,AV JOAO NAVES AVILA 2420,38408-100,-18.920221,-48.262528,Uberaba,"(-18.9199861, -48.2625469)",5784,-18.9199861,-48.2625469,1
MG,GOV VALADARES,S PAULO,AVENIDA JK 1402,35030-210,-18.873275,-41.958598,Belo Horizonte,"(-18.8731596, -41.9586656)",5789,-18.8731596,-41.9586656,2
MG,TUMIRITINGA,CENTRO,AV AMAZONAS 844,35125-000,-18.978775,-41.640367,Belo Horizonte,"(-18.9787388, -41.6432267)",5795,-18.9787388,-41.6432267,2
MG,ITABIRA,ESPLAN ESTACAO,R SUZINHA SA MARTINS 40,35900-209,-19.630430,-43.226877,Belo Horizonte,"(-19.6300659, -43.22651)",5797,-19.6300659,-43.22651,0
MG,BELO HORIZONTE,CASTELO,RROMUALDO L CANÃ‡ADO88LJ1,30840-460,-19.891606,-43.996263,Belo Horizonte,"(-19.89157900212743, -43.99614501090133)",5807,-19.89157900212743,-43.99614501090133,0
MG,POCOS DE CALDAS,JD DOS ESTADOS,AV JOSE REMIGIOPREZIA693,37701-782,-21.785069,-46.549850,Uberaba,"(-21.7853997, -46.5619342)",5825,-21.7853997,-46.5619342,1
MG,JOAO PINHEIRO,CENTRO,R CAPITAO SPERIDIAO 571,38770-000,-17.744810,-46.172781,Uberaba,"(-17.7448888, -46.1726564)",5960,-17.7448888,-46.1726564,1
MG,UBERABA,SAO BENEDITO,AV DR FERNANDO COSTA 909,38022-300,-19.769077,-47.944595,Uberaba,"(-19.769367, -47.9444129)",6387,-19.769367,-47.9444129,1
MG,BELO HORIZONTE,RIO BRANCO,R AUGUSTO ANJOS 335E337,31535-000,-19.836931,-43.965554,Belo Horizonte,"(-19.8191453, -43.9812882)",6454,-19.8191453,-43.9812882,0
MG,BETIM,CENTRO,PCA TIRADENTES 97 LJ,32560-210,-19.967165,-44.199100,Belo Horizonte,"(-19.9670335, -44.1987707)",6505,-19.9670335,-44.1987707,0
MG,BELO HORIZONTE,JARAGUA,R IZABEL BUENO 775,31270-030,-19.862883,-43.950166,Belo Horizonte,"(-19.86295, -43.9502)",6506,-19.86295,-43.9502,0
MG,BELO HORIZONTE,BARREIRO,AV AFONSO VAZ DE MELO370,30640-070,-19.973279,-44.018328,Belo Horizonte,"(-19.976974, -44.0250875)",6519,-19.976974,-44.0250875,0
