UF,MUNICIPIO,BAIRRO,ENDERAG,CEP_,LATITUDE2,LONGITUD2,Base Referencia,lat_lng,Agencia,Lat,Long,cluster
MG,ANDRADAS,CENTRO,R CEL OLIVEIRA 334,37795-000,-22.071.428,-46.572.107,Uberaba,"(-22.0716602, -46.5741687)",53,-22.0716602,-46.5741687,1
MG,BELO HORIZONTE,CENTRO,R DOS TUPINAMBAS 364,30120-903,-19.918.052,-43.937.557,Belo Horizonte,"(-19.917919, -43.9376827)",84,-19.917919,-43.9376827,0
MG,ITAMOGI,CENTRO,PCA S JOAO BATISTA 567,37955-000,-21.093.284,-47.043.731,Uberaba,"(-21.0787458, -47.0490631)",103,-21.0787458,-47.0490631,1
MG,ITAU DE MINAS,CENTRO,R DR JOSE BALBINO 558,37975-000,-20.743.528,-46.751.721,Uberaba,"(-20.743609, -46.7517449)",104,-20.743609,-46.7517449,1
MG,ITUIUTABA,CENTRO,R VINTE 910,38300-142,-18.996.803,-49.459.905,Uberaba,"(-18.9720865, -49.4642776)",106,-18.9720865,-49.4642776,1
MG,MONTE S DE MINAS,CENTRO,AV CEL A P DA COSTA 200,37958-000,-21.191.564,-46.977.056,Uberaba,"(-21.1912708, -46.9769232)",115,-21.1912708,-46.9769232,1
MG,PASSOS,CENTRO,AV AROUCA 655,37900-152,-20.719.227,-46.607.273,Uberaba,"(-20.7189951, -46.6073889)",120,-20.7189951,-46.6073889,1
MG,SAO SEB DO PARAISO,CENTRO,TRAV ALFERE PATRICIO 207,37950-000,-20.918.089,-46.989.296,Uberaba,"(-20.9178776, -46.9892573)",133,-20.9178776,-46.9892573,1
MG,UBERLANDIA,CENTRO,PCA TUBAL VILELA 222,38400-088,-18.920.334,-48.278.398,Uberaba,"(-18.920958, -48.2775938)",148,-18.920958,-48.2775938,1
MG,TEOFILO OTONI,CENTRO,R TEODORICO TOURINHO 303,39800-010,-17.866.478,-41.507.058,Belo Horizonte,"(-17.8666913, -41.5071769)",172,-17.8666913,-41.5071769,2
MG,GOV VALADARES,CENTRO,AV MINAS GERAIS 252,35010-150,-18.856.312,-41.944.670,Belo Horizonte,"(-18.8567598, -41.9440224)",219,-18.8567598,-41.9440224,2
MG,MONTES CLAROS,CENTRO,R CARLOS GOMES 76,39400-042,-16.721.410,-43.864.682,Belo Horizonte,"(-16.7216025, -43.8651207)",238,-16.7216025,-43.8651207,2
MG,POCOS DE CALDAS,CENTRO,PCA MJ LUIZ LOYOLLA 10,37701-003,-21.788.172,-46.568.322,Uberaba,"(-21.7866139, -46.5818902)",267,-21.7866139,-46.5818902,1
MG,CATAGUASES,CENTRO,R CEL VIEIRA 9,36770-028,-21.389.157,-42.694.826,Belo Horizonte,"(-21.3910384, -42.7113369)",275,-21.3910384,-42.7113369,0
MG,UBERABA,ESTADOS UNIDOS,AV LEOPOLDINO OLIV 3379,38015-000,-19.748.717,-47.935.046,Uberaba,"(-19.750005, -47.9342275)",321,-19.750005,-47.9342275,1
MG,JUIZ DE FORA,CENTRO,AV BAR DO R BRANCO 2334,36016-310,-21.763.010,-43.349.693,Belo Horizonte,"(-21.7622499, -43.3497377)",352,-21.7622499,-43.3497377,0
MG,ALPINOPOLIS,CENTRO,AV GOV VALADARES 218,37940-000,-20.856.102,-46.382.408,Uberaba,"(-20.8629493, -46.3904243)",353,-20.8629493,-46.3904243,1
MG,BELO HORIZONTE,CENTRO,PCA RAUL SOARES 144LJBEF,30180-030,-19.923.082,-43.945.789,Belo Horizonte,"(-19.9226034, -43.9444358)",573,-19.9226034,-43.9444358,0
MG,BARROSO,CENTRO,PCA SANTANA 71,36212-000,-21.187.513,-43.975.686,Belo Horizonte,"(-21.1874817, -43.97721920000001)",586,-21.1874817,-43.97721920000001,0
MG,BELO HORIZONTE,STA EFIGENIA,R PADRE MARINHO 430,30140-040,-19.925.249,-43.923.958,Belo Horizonte,"(-19.9251881, -43.92396069999999)",587,-19.9251881,-43.92396069999999,0
MG,SAO JOAO DEL REI,CENTRO,AV PRES TANCR NEVES 197,36300-195,-21.133.946,-44.259.059,Belo Horizonte,"(-21.1362111, -44.2576421)",594,-21.1362111,-44.2576421,0
MG,SANTA LUZIA,CENTRO,R DO COMERCIO 50,33030-000,-19.756.217,-43.883.316,Belo Horizonte,"(-19.7693065, -43.8712399)",625,-19.7693065,-43.8712399,0
MG,CONTAGEM,CENTRO,AV CARDEAL E PACELLI 735,32210-000,-19.958.445,-44.031.410,Belo Horizonte,"(-19.9520288, -44.01688619999999)",634,-19.9520288,-44.01688619999999,0
MG,BELO HORIZONTE,CENTRO,AV AFONSO PENA 270,30170-120,-19.946.714,-43.921.787,Belo Horizonte,"(-19.9163208, -43.9408102)",637,-19.9163208,-43.9408102,0
MG,BELO HORIZONTE,GUTIERREZ,AV FCO SA 1196,30430-040,-19.932980,-43.959026,Belo Horizonte,"(-19.9328485, -43.9589584)",3053,-19.9328485,-43.9589584,0
MG,ARAGUARI,CENTRO,R RUI BARBOSA 37,38440-222,-18.649.343,-48.191.293,Uberaba,"(-18.649238, -48.191567)",653,-18.649238,-48.191567,1
MG,ITAJUBA,CENTRO,PCA DR LIMA MEDEIROS 40,37500-184,-22.427.002,-45.452.874,Belo Horizonte,"(-22.4247429, -45.4601323)",673,-22.4247429,-45.4601323,0
MG,POUSO ALEGRE,CENTRO,R ADOLFO OLINTO 26/46,37550-000,-22.233.230,-45.933.221,Belo Horizonte,"(-22.2332939, -45.9328379)",676,-22.2332939,-45.9328379,1
MG,BELO HORIZONTE,SAO LUIZ,AV PRES ANT CARLOS 7910,31270-672,-19.852.991,-43.961.622,Belo Horizonte,"(-19.851486, -43.9624916)",689,-19.851486,-43.9624916,0
MG,DIVINOPOLIS,CENTRO,AV PRIMEIRO DE JUNHO 427,35500-003,-20.145.388,-44.887.811,Belo Horizonte,"(-20.1451098, -44.8878694)",690,-20.1451098,-44.8878694,0
MG,IPATINGA,HORTO,AV PRES CAST BRANCO 391,35160-294,-19.504.865,-42.570.218,Belo Horizonte,"(-19.5049381, -42.56997399999999)",692,-19.5049381,-42.56997399999999,2
MG,SETE LAGOAS,CENTRO,R PROF FERNANDINO JR 222,35700-014,-19.463.047,-44.244.162,Belo Horizonte,"(-19.4632548, -44.243485)",700,-19.4632548,-44.243485,0
MG,ALFENAS,CENTRO,AV PRES A BERNARDES 763,37130-000,-21.429.098,-45.948.757,Belo Horizonte,"(-21.4287446, -45.948888)",749,-21.4287446,-45.948888,1
MG,BELO HORIZONTE,MANGABEIRAS,AV AFONSO PENA 3888,30130-009,-19.944.361,-43.923.006,Belo Horizonte,"(-19.9446973, -43.9231474)",781,-19.9446973,-43.9231474,0
MG,VARGINHA,CENTRO,PCA J RESENDE PAIVA 50,37002-030,-21.558.023,-45.440.105,Belo Horizonte,"(-21.5560459, -45.4363875)",802,-21.5560459,-45.4363875,0
MG,GUAXUPE,CENTRO,AV CD RIBEIRO VALLE 205,37800-000,-21.302.267,-46.710.838,Uberaba,"(-21.3049394, -46.708459)",861,-21.3049394,-46.708459,1
MG,PATOS DE MINAS,CENTRO,R MAJOR GOTE 970,38702-054,-18.584.833,-46.515.038,Uberaba,"(-18.5918552, -46.5151338)",863,-18.5918552,-46.5151338,1
MG,BELO HORIZONTE,CAICARA,AV PRES CARLOS LUZ 3001,31250-970,-19.882443,-43.975404,Belo Horizonte,"(-19.8899937, -43.9680522)",6609,-19.8899937,-43.9680522,0
MG,BRUMADINHO,JOTA,AV PRES VARGAS 295,35460-000,-20.144039,-44.201164,Belo Horizonte,"(-20.1440557, -44.2010848)",2732,-20.1440557,-44.2010848,0
MG,BELO HORIZONTE,CENTRO,AV CRISTIANO MACHADO2106,31170-800,-19.889143,-43.929096,Belo Horizonte,"(-19.8581744, -43.9345078)",2932,-19.8581744,-43.9345078,0
MG,BELO HORIZONTE,VILA CLOVIS,AV CRISTIANO MACHAD11833,31744-007,-19.820737,-43.946192,Belo Horizonte,"(-19.82032, -43.94650000000001)",7958,-19.82032,-43.94650000000001,0
MG,BELO HORIZONTE,SAO BENTO,AV PRUDENTE MORAIS 1555,30380-000,-19.948521,-43.947750,Belo Horizonte,"(-19.9474677, -43.9481864)",2975,-19.9474677,-43.9481864,0
MG,BELO HORIZONTE,BELVEDERE,AV LUIZ PAULO FRANCO 400,30320-570,-19.974130,-43.940211,Belo Horizonte,"(-19.9743293, -43.941337)",2979,-19.9743293,-43.941337,0
MG,BELO HORIZONTE,SION,AV URUGUAI 531,30310-300,-19.951284,-43.931729,Belo Horizonte,"(-19.9510223, -43.9317616)",3033,-19.9510223,-43.9317616,0
MG,UBERLANDIA,CENTRO,AV BELO HORIZONTE 644,38400-088,-18.912970,-48.283298,Uberaba,"(-18.91284, -48.2832056)",3034,-18.91284,-48.2832056,1
MG,UBERABA,CENTRO,AV ALBERTO MF BORGES 397,38015-000,-19.758701,-47.940000,Uberaba,"(-19.7586635, -47.9398896)",3035,-19.7586635,-47.9398896,1
MG,BELO HORIZONTE,NV SUISSA,AV AMAZONAS 4567,30480-000,-19.929613,-43.974841,Belo Horizonte,"(-19.9298217, -43.9748418)",3037,-19.9298217,-43.9748418,0
MG,BELO HORIZONTE,CENTRO,R TUPIS 280,30190-060,-19.921486,-43.939551,Belo Horizonte,"(-19.9213503, -43.9396974)",3038,-19.9213503,-43.9396974,0
MG,CONTAGEM,ELDORADO,AV JOSE FARIA ROCHA 2630,32340-010,-19.938454,-44.045518,Belo Horizonte,"(-19.9383603, -44.045388)",3039,-19.9383603,-44.045388,0
MG,SANTA LUZIA,SAO BENEDITO,AV BRASILIA 1445,33120-510,-19.791541,-43.931502,Belo Horizonte,"(-19.7915404, -43.9317188)",3040,-19.7915404,-43.9317188,0
MG,ITAUNA,CENTRO,PCA D AUGUSTO GONCALV 64,35680-054,-20.072756,-44.576660,Belo Horizonte,"(-20.1001518, -44.6137789)",3042,-20.1001518,-44.6137789,0
MG,PARA DE MINAS,CENTRO,R BENEDITO VALADARES 231,35660-000,-19.862675,-44.607216,Belo Horizonte,"(-19.8634375, -44.6060177)",3043,-19.8634375,-44.6060177,0
MG,ITABIRA,CENTRO,R SIZENANDO BARROS 38,35900-006,-19.622607,-43.226070,Belo Horizonte,"(-19.6230713, -43.226384)",3044,-19.6230713,-43.226384,0
MG,STA RITA SAPUCAI,CENTRO,PCA SANTA RITA 41,37540-000,-22.249831,-45.719814,Belo Horizonte,"(-22.2524530, -45.70464603)",3045,-22.252453,-45.70464603,1
MG,JACUTINGA,CENTRO,R AMERICO PRADO 679,37590-000,-22.292313,-46.613955,Belo Horizonte,"(-22.288389, -46.6126448)",3046,-22.288389,-46.6126448,1
MG,MAR DE ESPANHA,CENTRO,PCA A SANTOS DUMONT 2,36640-000,-21.868031,-43.008956,Belo Horizonte,"(-21.8657357, -43.01008239999999)",3047,-21.8657357,-43.01008239999999,0
MG,BELO HORIZONTE,CARLOS PRATES,AV PEDRO II 1376,30710-010,-19.913797,-43.953708,Belo Horizonte,"(-19.9113439, -43.95520760000001)",3055,-19.9113439,-43.95520760000001,0
MG,CARANGOLA,CENTRO,R PEDRO DE OLIVEIRA 54,36800-000,-20.734232,-42.030476,Belo Horizonte,"(-20.7333875, -42.03083669999999)",3057,-20.7333875,-42.03083669999999,0
MG,CORONEL FABRICIANO,CENTRO,R CEL SILVINO PEREIRA 83,35170-039,-19.529755,-42.625095,Belo Horizonte,"(-19.5301582, -42.62488889999999)",3058,-19.5301582,-42.62488889999999,2
MG,JOAO MONLEVADE,CARNEIRINHOS,AV GETULIO VARGAS 4994,35930-003,-19.811241,-43.188198,Belo Horizonte,"(-19.8078985, -43.1757479)",3059,-19.8078985,-43.1757479,0
MG,OLIVEIRA,CENTRO,PCA XV DE NOVEMBRO 104,35540-000,-20.689886,-44.829148,Belo Horizonte,"(-20.6969864, -44.8271378)",3060,-20.6969864,-44.8271378,0
MG,MALACACHETA,CENTRO,AV PEDRO ABRANTES 383,39690-000,-17.842370,-42.072736,Belo Horizonte,"(-17.847322, -42.0788164)",3061,-17.847322,-42.0788164,2
MG,MACHADO,CENTRO,PCA ANTONIO CARLOS 137,37750-000,-21.675605,-45.922489,Uberaba,"(-21.6761238, -45.921482)",3062,-21.6761238,-45.921482,1
MG,LEOPOLDINA,CENTRO,R BAR DE COTEGIPE148,36700-000,-21.531719,-42.640758,Belo Horizonte,"(-21.5316104, -42.6408358)",3063,-21.5316104,-42.6408358,0
MG,OURO FINO,CENTRO,R TREZE DE MAIO 532,37570-000,-22.280505,-46.369221,Uberaba,"(-22.2798588, -46.3702856)",3064,-22.2798588,-46.3702856,1
MG,RIBEIRAO DAS NEVES,CEREJEIRAS,AV DENISE C DA ROCHA 690,33900-000,-19.802645,-44.002781,Belo Horizonte,"(-19.8006571, -44.0086715)",3065,-19.8006571,-44.0086715,0
MG,VICOSA,CENTRO,PCMAESTROHERVECORDOVIL67,36570-053,-20.746302,-42.844247,Belo Horizonte,"(-20.7549977, -42.8808302)",3066,-20.7549977,-42.8808302,0
MG,BONFIM,CENTRO,PCA GETULIO VARGAS 251,35521-000,-20.326534,-44.246922,Belo Horizonte,"(-20.33047380, -44.237015957)",3068,-20.3304738,-44.237015957,0
MG,NOVA LIMA,CENTRO,R JOSE AVILA 10,34000-000,-19.982614,-43.851579,Belo Horizonte,"(-19.9831892, -43.8517307)",3072,-19.9831892,-43.8517307,0
MG,SAO GOTARDO,CENTRO,PCA SAO SEBASTIAO 95,38800-000,-19.308741,-46.046287,Uberaba,"(-19.3183206, -46.0591353)",3073,-19.3183206,-46.0591353,1
MG,BELO HORIZONTE,ITAPOA,R GAL OLIMPIO M FO 202,31720-200,-19.830789,-43.959029,Belo Horizonte,"(-19.9218537, -43.93866269999999)",3076,-19.9218537,-43.93866269999999,0
MG,CURVELO,CENTRO,PCA TIRADENTES 541,35790-000,-18.836255,-44.406878,Belo Horizonte,"(-18.7514885, -44.4281442)",3077,-18.7514885,-44.4281442,2
MG,CAMPESTRE,CENTRO,PCA BRASIL 33,37730-000,-21.710985,-46.248016,Uberaba,"(-21.711532, -46.2458754)",3078,-21.711532,-46.2458754,1
MG,ITAPECERICA,CENTRO,R VIGARIO ANTUNES 44,35550-000,-20.463686,-45.123596,Belo Horizonte,"(-20.4713054, -45.1236772)",3079,-20.4713054,-45.1236772,0
MG,OURO BRANCO,CENTRO,R SANTO ANTONIO 213,36420-000,-20.524452,-43.692910,Belo Horizonte,"(-20.5243523, -43.6926732)",3080,-20.5243523,-43.6926732,0
MG,POCO FUNDO,CENTRO,R BAR DE ALFENAS 146,37757-000,-21.781380,-45.967142,Belo Horizonte,"(-21.7812932, -45.9671519)",3081,-21.7812932,-45.9671519,1
MG,CAXAMBU,CENTRO,R JOAO PINHEIRO 296,37440-000,-21.979261,-44.935031,Belo Horizonte,"(-21.9797392, -44.9344745)",3082,-21.9797392,-44.9344745,0
MG,UBERLANDIA,CENTRO,AV FLORIANO PEIXOTO 1909,38400-700,-18.908592,-48.268746,Uberaba,"(-18.9084548, -48.2688671)",3083,-18.9084548,-48.2688671,1
MG,SANTOS DUMONT,CENTRO,R PREF J M PITELLA 73,36240-000,-21.455898,-43.551371,Belo Horizonte,"(-21.4558096, -43.5657642)",3084,-21.4558096,-43.5657642,0
MG,CAETE,CENTRO,R SAO FRANCISCO 151,34800-000,-19.899735,-43.669947,Belo Horizonte,"(-19.8789946, -43.6602185)",3085,-19.8789946,-43.6602185,0
MG,ALTO RIO DOCE,CENTRO,R DR J G MENEZES 105,36260-000,-21.026077,-43.410528,Belo Horizonte,"(-21.0233592, -43.415198)",3086,-21.0233592,-43.415198,0
MG,CARMO DO RIO CLARO,CENTRO,R JOSE M DE CARVALHO164,37150-000,-20.971463,-46.132466,Uberaba,"(-20.9732824, -46.1190552)",3087,-20.9732824,-46.1190552,1
MG,DIAMANTINA,DOM JOAO,AV SILVIO F SANTOS 106,39100-000,-18.240683,-43.609095,Belo Horizonte,"(-18.2441852, -43.598022)",3088,-18.2441852,-43.598022,2
MG,FORMIGA,CENTRO,PCA GETULIO VARGAS 25,35570-000,-20.463463,-45.429897,Belo Horizonte,"(-20.4635581, -45.4299112)",3089,-20.4635581,-45.4299112,0
MG,LAGOA DA PRATA,CENTRO,AV BENEDITO VALADARE 737,35590-000,-20.008499,-45.536777,Belo Horizonte,"(-20.0206801, -45.5432769)",3090,-20.0206801,-45.5432769,1
MG,MANHUACU,CENTRO,PCA 5 DE NOVEMBRO 342,36900-000,-20.256590,-42.033387,Belo Horizonte,"(-20.256305, -42.033802)",3091,-20.256305,-42.033802,0
MG,PERDOES,CENTRO,PCA 1 DE JUNHO 18,37260-000,-21.101034,-45.089114,Belo Horizonte,"(-21.0939049, -45.088492)",3092,-21.0939049,-45.088492,0
MG,CONTAGEM,BR INDUSTRIAL,R TIRADENTES 2727,32230-020,-19.971385,-44.038842,Belo Horizonte,"(-19.9682754, -44.032817)",3096,-19.9682754,-44.032817,0
MG,CAMPO BELO,CENTRO,AV AFONSO PENA 150,37270-000,-20.894829,-45.275608,Belo Horizonte,"(-20.8941477, -45.2751572)",3097,-20.8941477,-45.2751572,0
MG,BELO HORIZONTE,SAGRADA FAMILIA,AV SILVIANO BRANDAO 685,31030-525,-19.911528,-43.920761,Belo Horizonte,"(-19.9072211, -43.9294909)",3101,-19.9072211,-43.9294909,0
MG,BELO HORIZONTE,SAO LUCAS,AV BRASIL 924,30140-001,-19.927777,-43.928329,Belo Horizonte,"(-19.92791, -43.92858)",3102,-19.92791,-43.92858,0
MG,BELO HORIZONTE,INCONFIDENCIA,AV ABILIO MACHADO 1054,30830-000,-19.906464,-43.999552,Belo Horizonte,"(-19.906549, -43.9992487)",3103,-19.906549,-43.9992487,0
MG,ALEM PARAIBA,CENTRO,R MAR FLORIANO 28,36660-000,-21.884842,-42.698010,Belo Horizonte,"(-21.883273, -42.69900699999999)",3104,-21.883273,-42.69900699999999,0
MG,MONTE CARMELO,CENTRO,PCA GETULIO VARGAS 20,38500-000,-18.730188,-47.496799,Uberaba,"(-18.7292779, -47.4978215)",3105,-18.7292779,-47.4978215,1
MG,PEDRO LEOPOLDO,CENTRO,R DR HERBSTER 285,33600-000,-19.622019,-44.043836,Belo Horizonte,"(-19.621351, -44.0434031)",3106,-19.621351,-44.0434031,0
MG,VISC DO RIO BRANCO,CENTRO,PCA 28 DE SETEMBRO 174,36520-000,-21.017186,-42.837839,Belo Horizonte,"(-21.0102204, -42.8391466)",3107,-21.0102204,-42.8391466,0
MG,ITABIRITO,CENTRO,AV QUEIROZ JUNIOR 679,35450-000,-20.249892,-43.803888,Belo Horizonte,"(-20.2494771, -43.803961)",3108,-20.2494771,-43.803961,0
MG,IPATINGA,CENTRO,R MARIA J S SALES 15,35160-011,-19.478498,-42.526634,Belo Horizonte,"(-19.4765049, -42.5292096)",3109,-19.4765049,-42.5292096,2
MG,JANAUBA,CENTRO,PCA ROMULO S AZEVEDO 8,39440-000,-15.801421,-43.309626,Belo Horizonte,"(-15.8009305, -43.30941869999999)",3110,-15.8009305,-43.30941869999999,2
MG,PARACATU,CENTRO,AV DEP QUINT VARGAS 436,38600-000,-17.220121,-46.874422,Uberaba,"(-17.2174562, -46.8723064)",3111,-17.2174562,-46.8723064,1
MG,BOA ESPERANCA,CENTRO,R PRES VARGAS 786,37170-000,-21.086258,-45.575127,Belo Horizonte,"(-21.091777, -45.564264)",3112,-21.091777,-45.564264,0
MG,TIMOTEO,CENTRO,PCA 1 DE MAIO 33,35180-018,-19.538174,-42.645855,Belo Horizonte,"(-19.5823775, -42.6449593)",3113,-19.5823775,-42.6449593,2
MG,VESPASIANO,CENTRO,R DR ARY T COSTA353,33200-000,-19.694766,-43.920692,Belo Horizonte,"(-19.6888212, -43.9243329)",3114,-19.6888212,-43.9243329,0
MG,BELO HORIZONTE,FUNCIONARIOS,AV GETULIO VARGAS 681,30112-020,-19.934964,-43.929745,Belo Horizonte,"(-19.9353511, -43.9298694)",3116,-19.9353511,-43.9298694,0
MG,BELO HORIZONTE,FUNCIONARIOS,R PARAIBA 1122,30130-141,-19.937112,-43.933952,Belo Horizonte,"(-19.9364598, -43.93387999999999)",3117,-19.9364598,-43.93387999999999,0
MG,ARCOS,CENTRO,R JARBAS F PIRES 497,35588-000,-20.285953,-45.539927,Belo Horizonte,"(-20.2878611, -45.5395297)",3118,-20.2878611,-45.5395297,0
MG,BOM DESPACHO,CENTRO,PCA DA MATRIZ 450,35600-000,-19.676128,-45.270710,Belo Horizonte,"(-19.7367129, -45.2517708)",3119,-19.7367129,-45.2517708,0
MG,CONTAGEM,GUANABARA,BR 040 KM 688 PAVLHAO A,32145-900,-19.896247,-44.049704,Belo Horizonte,"(-19.8938857, -44.045711)",3120,-19.8938857,-44.045711,0
MG,GUANHAES,CENTRO,PCA JK 140,39740-000,-18.775445,-42.934645,Belo Horizonte,"(-18.7770362, -42.9380174)",3121,-18.7770362,-42.9380174,2
MG,JANUARIA,CENTRO,PCA DOM DANIEL 61,39480-000,-15.490904,-44.366226,Belo Horizonte,"(-15.4895983, -44.3619861)",3123,-15.4895983,-44.3619861,2
MG,PITANGUI,CENTRO,R INACIO O CAMPOS 59,35650-000,-19.683473,-44.891266,Belo Horizonte,"(-19.6824367, -44.8902347)",3124,-19.6824367,-44.8902347,0
MG,PIUMHI,CENTRO,R BENEDITO VALADARES 117,37925-000,-20.461786,-45.945715,Belo Horizonte,"(-20.4690926, -45.9604125)",3125,-20.4690926,-45.9604125,1
MG,POUSO ALEGRE,CENTRO,PCA SEN JOSE BENTO 1,37550-000,-22.231435,-45.935702,Belo Horizonte,"(-22.2300669, -45.937219)",3135,-22.2300669,-45.937219,1
MG,PASSOS,CENTRO,PCA M MESSIA BRAGANCA 91,37900-084,-20.718128,-46.610863,Uberaba,"(-20.7287308, -46.6235706)",3136,-20.7287308,-46.6235706,1
MG,SETE LAGOAS,CENTRO,R DR PEDRO LUIZ 203,35700-004,-19.459068,-44.244132,Belo Horizonte,"(-19.460048, -44.2443096)",3137,-19.460048,-44.2443096,0
MG,RIO POMBA,CENTRO,PCA ULTIMO CARVALHO 86,36180-000,-21.279245,-43.175095,Belo Horizonte,"(-21.2754345, -43.1799566)",3139,-21.2754345,-43.1799566,0
MG,SACRAMENTO,CENTRO,AV VIGARIO PAIXAO 14,38190-000,-19.858325,-47.452513,Uberaba,"(-19.8668776, -47.4410926)",3140,-19.8668776,-47.4410926,1
MG,IBIRITE,CENTRO,R FREITAS OLIVEIRA 50,32400-000,-20.025558,-44.058773,Belo Horizonte,"(-20.024528, -44.058865)",3142,-20.024528,-44.058865,0
MG,ABAETE,CENTRO,AV GETULIO VARGAS 76,35620-000,-19.156153,-45.448109,Belo Horizonte,"(-19.1576642, -45.44712149999999)",3147,-19.1576642,-45.44712149999999,0
MG,BELO ORIENTE,CENTRO,R 1 DE MARCO 344,35195-000,-19.221982,-42.484662,Belo Horizonte,"(-19.2216614, -42.48676589999999)",3148,-19.2216614,-42.48676589999999,2
MG,MARIANA,CENTRO,R FREI DURAO 170,35420-000,-20.377735,-43.416121,Belo Horizonte,"(-20.3778117, -43.41594509999999)",3149,-20.3778117,-43.41594509999999,0
MG,MATOZINHOS,CENTRO,PCA BOM JESUS 69,35720-000,-19.558204,-44.082069,Belo Horizonte,"(-19.5579063, -44.0813599)",3152,-19.5579063,-44.0813599,0
MG,CONGONHAS,CENTRO,AV JULIA KUBITSCHECK 33,36415-000,-20.501961,-43.858894,Belo Horizonte,"(-20.5023238, -43.8576755)",3153,-20.5023238,-43.8576755,0
MG,PIRAPORA,CENTRO,AV RODOLFO MALLARD 177,39270-000,-17.319253,-44.906994,Belo Horizonte,"(-17.3497964, -44.9506777)",3154,-17.3497964,-44.9506777,2
MG,BELO HORIZONTE,STO AGOSTINHO,PCA CARLOS CHAGAS 49,30170-020,-19.930956,-43.949927,Belo Horizonte,"(-19.9326301, -43.9484106)",3155,-19.9326301,-43.9484106,0
MG,DIVINOPOLIS,CENTRO,R GOIAS 384,35500-000,-20.146313,-44.889047,Belo Horizonte,"(-20.1480505, -44.88409619999999)",3156,-20.1480505,-44.88409619999999,0
MG,MONTES CLAROS,CENTRO,R DR SANTOS 49,39400-000,-16.722882,-43.865139,Belo Horizonte,"(-16.7238953, -43.8651953)",3157,-16.7238953,-43.8651953,2
MG,BELO HORIZONTE,CENTRO,R CURITIBA 987,30170-120,-19.921741,-43.942140,Belo Horizonte,"(-19.9215347, -43.9419519)",3158,-19.9215347,-43.9419519,0
MG,NOVA SERRANA,CENTRO,R ANTONIO MARTINS 210,35519-000,-19.884140,-44.981472,Belo Horizonte,"(-19.8772811, -44.9866473)",3159,-19.8772811,-44.9866473,0
MG,CARATINGA,CENTRO,PCA CESARIO ALVIM 226,35300-036,-19.790805,-42.139244,Belo Horizonte,"(-19.7905642, -42.1401396)",3162,-19.7905642,-42.1401396,2
MG,JUIZ DE FORA,CENTRO,AV BAR DO R BRANCO 2685,36010-012,-21.765455,-43.348599,Belo Horizonte,"(-21.7654351, -43.3482863)",3163,-21.7654351,-43.3482863,0
MG,UBERLANDIA,CENTRO,AV AFONSO PENA 657,38400-130,-18.918696,-48.278121,Uberaba,"(-18.9176516, -48.27760010000001)",3166,-18.9176516,-48.27760010000001,1
MG,JUIZ DE FORA,STA TEREZINHA,AV RUI BARBOSA 440,36046-000,-21.743005,-43.363248,Belo Horizonte,"(-21.7431406, -43.3622737)",3172,-21.7431406,-43.3622737,0
MG,BELO HORIZONTE,CENTRO,R RIO DE JANEIRO 471,30160-040,-19.918826,-43.938527,Belo Horizonte,"(-19.918638, -43.938369)",3176,-19.918638,-43.938369,0
MG,VARGINHA,CENTRO,R DEP RIB REZENDE 287,37002-100,-21.559740,-45.435765,Belo Horizonte,"(-21.5555785, -45.4363532)",3178,-21.5555785,-45.4363532,0
MG,BELO HORIZONTE,SAO JOSE,AV ANTONIO A CARAM 850,31275-190,-19.862460,-43.969261,Belo Horizonte,"(-19.8623359, -43.969638)",3179,-19.8623359,-43.969638,0
MG,GOV VALADARES,CENTRO,AV MINAS GERAIS 275,35010-150,-18.857310,-41.944047,Belo Horizonte,"(-18.8568674, -41.9447198)",3180,-18.8568674,-41.9447198,2
MG,ENTRE RIOS MINAS,CENTRO,PCA S RIB OLIVEIRA 237,35490-000,-20.678565,-44.052630,Belo Horizonte,"(-20.6706943, -44.0657306)",3187,-20.6706943,-44.0657306,0
MG,PASSA QUATRO,CENTRO,R TEN VIOTTE 515,37460-000,-22.388514,-44.963082,Belo Horizonte,"(-22.3829371, -44.9666211)",3188,-22.3829371,-44.9666211,0
MG,BOCAIUVA,CENTRO,AV FCO DUMONT 26,39390-000,-17.111237,-43.813503,Belo Horizonte,"(-17.1113356, -43.82033149999999)",3189,-17.1113356,-43.82033149999999,2
MG,CLAUDIO,CENTRO,PCA EX COMBATENTES 192,35530-000,-20.441133,-44.758427,Belo Horizonte,"(-20.4439987, -44.7657943)",3190,-20.4439987,-44.7657943,0
MG,TOMBOS,CENTRO,PCA CEL MANOEL QUINTA 27,36844-000,-20.904898,-42.023778,Belo Horizonte,"(-20.9081581, -42.0273364)",3191,-20.9081581,-42.0273364,0
MG,BAMBUI,CENTRO,PCA CEL TORRES 26,38900-000,-20.021387,-45.960783,Uberaba,"(-20.0170955, -45.9795138)",3192,-20.0170955,-45.9795138,1
MG,LAGOA SANTA,CENTRO,AV ACAD NILO FIGUEIRED96,33400-000,-19.628367,-43.896005,Belo Horizonte,"(-19.628007, -43.8956732)",3193,-19.628007,-43.8956732,0
MG,S DOMINGOS PRATA,CENTRO,R PE PEDRO DOMINGUES 37,35995-000,-19.865000,-42.968000,Belo Horizonte,"(-19.8631614, -42.9689652)",3194,-19.8631614,-42.9689652,0
